880823 微盘股 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/02/03	1023.65	1024.67	1017.71	1019.93	15197652	16935902208.00
2017/02/06	1020.24	1028.88	1017.97	1028.88	19281686	21792649216.00
2017/02/07	1028.20	1030.87	1023.28	1027.99	20889614	22765117440.00
2017/02/08	1026.69	1033.69	1021.73	1033.69	20873357	23233708032.00
2017/02/09	1033.49	1040.44	1032.63	1040.44	28118972	30046834688.00
2017/02/10	1040.32	1042.83	1038.12	1040.24	31095171	31252932608.00
2017/02/13	1039.95	1046.48	1039.80	1046.48	28385484	29966315520.00
2017/02/14	1046.01	1046.28	1041.71	1045.34	24402469	26530611200.00
2017/02/15	1044.91	1046.55	1034.98	1036.72	31700721	32050694144.00
2017/02/16	1034.94	1043.11	1034.55	1042.83	29353067	29784858624.00
2017/02/17	1042.13	1043.28	1033.24	1034.24	29386936	31932348416.00
2017/02/20	1033.96	1044.32	1033.96	1044.31	27247204	30741999616.00
2017/02/21	1044.77	1052.92	1043.86	1052.92	30246893	33474385920.00
2017/02/22	1052.02	1058.08	1051.81	1058.08	32405890	36915224576.00
2017/02/23	1057.56	1059.97	1053.36	1059.22	39639075	42022080512.00
2017/02/24	1057.91	1061.41	1055.52	1060.43	32964339	36594180096.00
2017/02/27	1060.15	1061.61	1051.30	1052.27	31336624	35746238464.00
2017/02/28	1051.75	1055.13	1049.45	1055.13	25542750	30248185856.00
2017/03/01	1052.65	1058.47	1051.17	1055.22	29198522	35584454656.00
2017/03/02	1055.67	1056.75	1048.59	1049.22	27376033	32624345088.00
2017/03/03	1046.64	1053.58	1044.33	1053.29	25676157	32232523776.00
2017/03/06	1053.52	1063.87	1053.52	1063.87	27187777	34457325568.00
2017/03/07	1065.56	1066.10	1060.68	1065.50	26446794	31859646464.00
2017/03/08	1065.79	1067.21	1059.56	1062.55	26475354	31858132992.00
2017/03/09	1058.71	1058.73	1049.58	1051.75	25578689	30257086464.00
2017/03/10	1053.08	1057.43	1052.95	1055.18	11246482	13685615616.00
2017/03/13	1054.69	1064.08	1049.25	1064.08	26044596	32339730432.00
2017/03/14	1064.48	1066.29	1060.12	1062.25	24114808	29777455104.00
2017/03/15	1060.31	1062.17	1057.90	1060.59	22060686	27345086464.00
2017/03/16	1063.06	1071.14	1063.06	1071.08	27859555	34193111040.00
2017/03/17	1071.68	1073.91	1062.98	1063.67	31558818	38304239616.00
2017/03/20	1063.35	1066.07	1058.69	1065.98	24014677	29308948480.00
2017/03/21	1065.26	1068.39	1063.78	1068.14	22575219	27991171072.00
2017/03/22	1063.46	1067.31	1058.66	1065.01	27512359	34723536896.00
2017/03/23	1064.93	1068.55	1054.02	1064.14	28260321	35537752064.00
2017/03/24	1063.21	1067.99	1060.44	1067.43	27887852	32825802752.00
