880823 微盘股 5分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/09/11	0935	2971.64	2972.69	2945.68	2950.89	221047	2210474496.00
2023/09/11	0940	2951.45	2964.42	2949.98	2964.32	97051	970519168.00
2023/09/11	0945	2964.73	2968.97	2964.35	2965.85	84250	842508992.00
2023/09/11	0950	2965.80	2970.23	2959.53	2959.53	72109	721097280.00
2023/09/11	0955	2959.51	2961.52	2957.56	2958.57	53713	537134336.00
2023/09/11	1000	2958.66	2962.15	2958.66	2962.15	41623	416237024.00
2023/09/11	1005	2962.02	2976.12	2962.02	2976.02	55941	559419136.00
2023/09/11	1010	2976.03	2978.19	2975.70	2978.07	41331	413319872.00
2023/09/11	1015	2978.27	2979.41	2977.70	2979.15	34705	347055648.00
2023/09/11	1020	2979.17	2979.30	2977.05	2977.05	32479	324792640.00
2023/09/11	1025	2976.91	2978.73	2976.23	2978.64	27204	272042848.00
2023/09/11	1030	2978.59	2981.01	2978.29	2978.80	28860	288602784.00
2023/09/11	1035	2978.83	2980.89	2978.62	2980.18	28018	280185088.00
2023/09/11	1040	2980.12	2982.81	2979.52	2982.59	25509	255098560.00
2023/09/11	1045	2982.58	2983.60	2980.76	2980.76	23348	233485520.00
2023/09/11	1050	2980.65	2983.62	2980.42	2982.18	23853	238532720.00
2023/09/11	1055	2982.23	2985.11	2981.96	2984.07	21521	215215088.00
2023/09/11	1100	2984.18	2984.75	2980.90	2980.98	18168	181680288.00
2023/09/11	1105	2980.88	2980.99	2978.18	2978.21	16781	167811872.00
2023/09/11	1110	2978.14	2978.14	2975.76	2976.53	17256	172566592.00
2023/09/11	1115	2976.59	2978.57	2976.26	2978.57	13731	137319824.00
2023/09/11	1120	2978.55	2978.73	2977.84	2978.53	13000	130008224.00
2023/09/11	1125	2978.52	2979.43	2977.44	2979.33	15544	155448256.00
2023/09/11	1130	2979.42	2981.32	2979.24	2980.39	17705	177058560.00
2023/09/11	1305	2980.37	2990.62	2980.03	2986.13	54222	542221376.00
2023/09/11	1310	2986.00	2987.84	2983.49	2987.83	22646	226463152.00
2023/09/11	1315	2988.00	2989.31	2987.70	2988.20	22485	224856368.00
2023/09/11	1320	2988.06	2990.01	2985.72	2985.91	25018	250183152.00
2023/09/11	1325	2985.94	2987.22	2985.91	2986.95	20085	200852720.00
2023/09/11	1330	2986.88	2987.34	2985.61	2985.80	21845	218456096.00
2023/09/11	1335	2985.66	2986.92	2985.62	2986.53	24603	246037104.00
2023/09/11	1340	2986.39	2986.39	2983.10	2983.10	25847	258475952.00
2023/09/11	1345	2983.04	2983.04	2981.05	2981.09	22001	220014560.00
2023/09/11	1350	2981.10	2982.20	2980.91	2981.13	18402	184021792.00
2023/09/11	1355	2981.11	2981.20	2980.09	2980.66	17154	171548128.00
2023/09/11	1400	2980.69	2981.77	2980.66	2981.64	16618	166182416.00
