factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,mean_when_big_up,mean_when_big_down,difference_big_up_down,missing_rate,max_abs_tail_corr
m5_volume_profile_std_5,20,0.3781661107374887,0.40488487853083927,-0.18456080960367932,0.0416868440606032,0.027846042248776574,0.013840801811826623,0.8456692913385827,0.40488487853083927
m5_intraday_volatility_mean_5,10,0.2770570838048282,0.35710996555159524,-0.13571952408293878,0.002361400841013481,0.001728816742830491,0.0006325840981829902,0.8412532637075718,0.35710996555159524
m5_intraday_volatility_mean_5,20,0.35641558239618015,0.355271345505459,-0.11525680303090836,0.0023677738300857277,0.0017726449955633278,0.0005951288345223999,0.8456692913385827,0.355271345505459
m5_morning_return_std_5,20,0.3696732386548408,0.3530618114063074,-0.1296556190521442,0.0199639594287328,0.013032683691363197,0.006931275737369602,0.8456692913385827,0.3530618114063074
m5_intraday_range_mean_5,20,0.3910846575575455,0.3511175636585477,-0.14489732152659102,0.03636182576129196,0.024310500570181814,0.012051325191110147,0.8456692913385827,0.3511175636585477
m5_volume_profile_std_5,10,0.24206866307475583,0.33824135407429023,-0.11609670753134044,0.04018511148233289,0.02953076281699633,0.010654348665336561,0.8412532637075718,0.33824135407429023
m5_intraday_range_mean_5,10,0.30569632015737336,0.3342413869963681,-0.13385815038232196,0.03580998966772277,0.02435990145366527,0.011450088214057505,0.8412532637075718,0.3342413869963681
m5_intraday_volatility_std_5,10,0.25643207880823493,0.3338243075044641,-0.13700880734462806,0.0007466538480164355,0.0004465357889248765,0.000300118059091559,0.8412532637075718,0.3338243075044641
m5_last_hour_volume_share_std_5,20,0.24473512068548497,0.33370121904242794,-0.13228765349038316,0.024733450338698743,0.017804432547745958,0.006929017790952785,0.8456692913385827,0.33370121904242794
m5_intraday_volatility_std_5,20,0.3100769207633869,0.32872739253512007,-0.17590410243883695,0.0007484583081412576,0.0004270265050383194,0.00032143180310293827,0.8456692913385827,0.32872739253512007
m5_intraday_return_std_5,20,0.3333988191899502,0.3265210930454853,-0.1227340137372209,0.025996811696535702,0.017143009499580898,0.008853802196954804,0.8456692913385827,0.3265210930454853
m5_first_hour_return_std_5,20,0.35044412411105963,0.3214158813876258,-0.1271111558510087,0.017337374620659107,0.01146648896620696,0.005870885654452146,0.8456692913385827,0.3214158813876258
m5_intraday_range_std_5,20,0.33262212770411426,0.3123254519349656,-0.15244327270803398,0.014582692863875863,0.008452768921390907,0.006129923942484955,0.8456692913385827,0.3123254519349656
m5_intraday_return_std_5,10,0.23522887590729882,0.306355331356622,-0.07747245802724094,0.02559954901307031,0.018078863293534343,0.007520685719535968,0.8412532637075718,0.306355331356622
amihud_illiq_20,10,0.32229640518312536,0.29207322116826545,-0.15782514592515562,0.011300481320720897,0.008508412018943394,0.0027920693017775035,0.005221932114882507,0.29207322116826545
m5_last30_return_std_5,10,0.07813645656765035,0.2913299095193633,-0.013779565078263065,0.00495726376735198,0.0038172577089631175,0.0011400060583888622,0.8412532637075718,0.2913299095193633
m5_intraday_range_std_5,10,0.23802249848114132,0.28905038069025607,-0.10602740297893336,0.01419744691920768,0.008974531960901635,0.005222914958306044,0.8412532637075718,0.28905038069025607
m5_intraday_range,20,0.2977909058230206,0.2843299436804626,-0.09704481063221453,0.03626182039789039,0.024983950629063563,0.011277869768826825,0.8446194225721785,0.2843299436804626
m5_intraday_volatility_mean_5,5,0.2237358835769286,0.2836621644480187,-0.08807710114492212,0.0022880656014025624,0.001809678417922326,0.00047838718348023647,0.8390625,0.2836621644480187
m5_intraday_volatility,20,0.26147439629939745,0.28360675425406,-0.08795282147557316,0.002351493771883322,0.0017853549021931983,0.0005661388696901238,0.8446194225721785,0.28360675425406
m5_last_hour_volume_share_std_5,10,0.14867588227066114,0.2817242092357189,-0.0531416039953483,0.02403285505239864,0.019130158413066433,0.004902696639332207,0.8412532637075718,0.2817242092357189
m5_large_up_count,20,0.25509386250747484,0.27820436823492545,-0.06768741376510563,3.810344827586207,2.3736263736263736,1.4367184539598332,0.8446194225721785,0.27820436823492545
m5_last30_volume_share_std_5,20,0.18125183657174698,0.2768887421314843,-0.04043357695880714,0.016008284986077904,0.013238339810755647,0.002769945175322258,0.8456692913385827,0.2768887421314843
amihud_illiq_20,20,0.3586292870815358,0.27596380713354146,-0.1738718555998061,0.011121891408053773,0.008213487592062389,0.002908403815991384,0.005249343832020997,0.27596380713354146
amihud_illiq_10,20,0.3923067056066275,0.27322070550244676,-0.16026031544702127,0.011394079204884042,0.008049356584785004,0.0033447226200990377,0.0026246719160104987,0.27322070550244676
m5_last30_volume_share_std_5,10,0.13096499140674375,0.2730228499080049,-0.02063554269414043,0.01585899526722072,0.01326572862408835,0.002593266643132369,0.8412532637075718,0.2730228499080049
m5_bar_range_mean,20,0.24422082629001177,0.2716245786002528,-0.06077290551542867,0.0025245794467097732,0.0020390788758721167,0.0004855005708376565,0.8446194225721785,0.2716245786002528
m5_morning_return_std_5,10,0.2759249518944774,0.26967807133320687,-0.08974138544847653,0.01875134208636498,0.013553162841403966,0.005198179244961012,0.8412532637075718,0.26967807133320687
m5_first_hour_return_std_5,10,0.2931056024313062,0.26874735378004183,-0.09639039592215379,0.016606597655430266,0.011800661600250822,0.004805936055179445,0.8412532637075718,0.26874735378004183
m5_afternoon_return_std_5,10,0.13804581343730452,0.26665948312146204,-0.005307674588160918,0.011715748491449147,0.009285102309933449,0.002430646181515698,0.8412532637075718,0.26665948312146204
amihud_illiq_10,10,0.2994099527412973,0.26640409202629484,-0.11534321419613965,0.011390996580213142,0.008602979012353676,0.0027880175678594663,0.0026109660574412533,0.26640409202629484
m5_last_hour_return_std_5,10,0.06002500356088824,0.2652984333358265,5.2878781153203555e-05,0.00855873205677709,0.006708818223510357,0.0018499138332667324,0.8412532637075718,0.2652984333358265
m5_midday_reversal_std_5,10,0.054280603780892354,0.26432962944047467,0.008315683719598264,0.008224742057791752,0.006581341190989396,0.0016434008668023562,0.8412532637075718,0.26432962944047467
m5_close_vwap_position_std_5,20,0.25438705622540664,0.26289355134436615,-0.07184010825467843,0.007879230387001996,0.005610404068125797,0.0022688263188761987,0.8456692913385827,0.26289355134436615
amihud_illiq_20,5,0.24620258186298483,0.2618813005902621,-0.11999042044266804,0.011197901672227183,0.008873302491516988,0.002324599180710195,0.005208333333333333,0.2618813005902621
volatility_ratio_20_60,10,0.1972579392030865,0.2609593994566616,-0.1266128267799965,1.0496094240176876,0.9099792014000598,0.1396302226176278,0.015665796344647518,0.2609593994566616
amihud_illiq_10,5,0.22151215145030348,0.25818294941983067,-0.09398216219025445,0.011437745868721597,0.008886010532033058,0.0025517353366885393,0.0026041666666666665,0.25818294941983067
m5_bar_range_mean,10,0.17613849903581888,0.2570736460609491,-0.04150185574519219,0.0025015403397587645,0.0020634800170434486,0.00043806032271531594,0.8402088772845953,0.2570736460609491
m5_first_hour_return_std_5,5,0.19960424187857642,0.25675019513558245,-0.08736031933933211,0.016664270879908138,0.012093525432487252,0.004570745447420886,0.8390625,0.25675019513558245
m5_large_drop_count,20,0.20898251600716702,0.25263510000097905,-0.06072253875135878,3.8017241379310347,2.3626373626373627,1.439086775293672,0.8446194225721785,0.25263510000097905
m5_last30_volume_share_mean_5,5,-0.18049230049402065,-0.25135848286872803,0.0353636654796388,0.1302860244545005,0.13424598750410088,-0.00395996304960039,0.8390625,0.25135848286872803
