model_name,horizon,n_eval,MAE,RMSE,directional_accuracy_from_regression,directional_accuracy,return_correlation,accuracy,precision,recall,F1,AUC,balanced_accuracy,trade_accuracy,trade_precision,trade_recall,trade_F1,trade_AUC,big_up_accuracy,big_up_precision,big_up_recall,big_up_F1,big_up_AUC,big_down_accuracy,big_down_precision,big_down_recall,big_down_F1,big_down_AUC,tail_score_return_correlation,tail_score_directional_accuracy
RandomForest,3,318,0.021891488128472966,0.02892600382125352,0.5817610062893082,0.5817610062893082,0.04530441126924523,0.5849056603773585,0.6855895196506551,0.7235023041474654,0.7040358744394619,0.528493863211206,0.5053155085093762,0.559748427672956,0.6434782608695652,0.7184466019417476,0.6788990825688074,0.49640256588072124,0.60062893081761,0.4722222222222222,0.2764227642276423,0.3487179487179487,0.5808630393996248,0.5786163522012578,0.1717171717171717,0.2463768115942029,0.20238095238095238,0.4550957453000407,0.061634789521045126,0.449685534591195
HistGradientBoosting,5,316,0.030605877644995828,0.03828440941463723,0.5537974683544303,0.5537974683544303,0.05228688087985931,0.6075949367088608,0.7272727272727273,0.7142857142857143,0.7207207207207207,0.5252329192546583,0.531055900621118,0.6012658227848101,0.7090909090909091,0.7155963302752294,0.7123287671232876,0.5168039692941396,0.6107594936708861,0.48936170212765956,0.1885245901639344,0.27218934911242604,0.5321531181341896,0.7246835443037974,0.1891891891891892,0.109375,0.13861386138613863,0.462983630952381,0.046492250751675936,0.5253164556962026
GradientBoosting,3,318,0.02178980759621693,0.02899316391004648,0.6163522012578616,0.6163522012578616,0.05978324530565092,0.6823899371069182,0.6920529801324503,0.9631336405529954,0.8053949903660886,0.5124104576356253,0.5211707806725373,0.5754716981132075,0.6381322957198443,0.7961165048543689,0.7084233261339092,0.4816010748959778,0.6194968553459119,0.6,0.04878048780487805,0.09022556390977443,0.5605169897852824,0.7830188679245284,0.0,0.0,0.0,0.44528839997671843,-0.014154297831379085,0.5440251572327044
XGBoost,1,320,0.0128095954904669,0.017701940770560476,0.49375,0.49375,-0.01893650434280848,0.5375,0.5963302752293578,0.6842105263157895,0.6372549019607843,0.5117004048582996,0.5036437246963563,0.49375,0.51,0.31097560975609756,0.38636363636363635,0.5159083802376485,0.615625,0.35294117647058826,0.05084745762711865,0.08888888888888889,0.568971303910052,0.690625,0.22727272727272727,0.05747126436781609,0.09174311926605505,0.48867840757732717,0.03424495586351173,0.475
ExtraTrees,5,316,0.027185539039002685,0.03487600332797977,0.629746835443038,0.629746835443038,0.08507437202779634,0.5379746835443038,0.6989795918367347,0.6116071428571429,0.6523809523809524,0.5097049689440993,0.48515139751552794,0.5316455696202531,0.6767676767676768,0.6146788990825688,0.6442307692307693,0.5248548960868751,0.5506329113924051,0.4019607843137255,0.3360655737704918,0.36607142857142855,0.505112388034477,0.5569620253164557,0.14150943396226415,0.234375,0.17647058823529413,0.45293898809523814,0.05746523205486316,0.4462025316455696
XGBoost,5,316,0.030729233050438058,0.03946173549383636,0.5569620253164557,0.5569620253164557,0.006606267577954497,0.6265822784810127,0.7264957264957265,0.7589285714285714,0.74235807860262,0.5072302018633541,0.531638198757764,0.5759493670886076,0.6962616822429907,0.6834862385321101,0.6898148148148148,0.5341228234413031,0.620253164556962,0.53125,0.13934426229508196,0.22077922077922077,0.5130978536420483,0.7658227848101266,0.25,0.078125,0.11904761904761904,0.4490637400793651,0.08431919065342068,0.5474683544303798
XGBoost,3,318,0.02266583363802067,0.030552494413455773,0.559748427672956,0.559748427672956,0.039827959087484155,0.5880503144654088,0.6733870967741935,0.7695852534562212,0.7182795698924731,0.504950495049505,0.48380252771820964,0.5471698113207547,0.6435185185185185,0.6747572815533981,0.6587677725118484,0.49718273231622734,0.6289308176100629,0.6086956521739131,0.11382113821138211,0.1917808219178082,0.6051282051282051,0.7515723270440252,0.0,0.0,0.0,0.4763983470112333,0.01726964070023644,0.5408805031446541
GradientBoosting,1,320,0.012216841823000802,0.017184324922280295,0.559375,0.559375,0.0018688040745310948,0.559375,0.5836177474402731,0.9,0.7080745341614907,0.5024696356275303,0.4807692307692308,0.48125,0.4861111111111111,0.21341463414634146,0.2966101694915254,0.49892510944340207,0.63125,0.5,0.025423728813559324,0.04838709677419355,0.5845779493203558,0.725,0.0,0.0,0.0,0.5075477282817819,0.05592380030167507,0.496875
LightGBM,1,320,0.01262409726433959,0.01759666217873373,0.5,0.5,0.014392287390459408,0.53125,0.591743119266055,0.6789473684210526,0.6323529411764706,0.5022267206477733,0.497165991902834,0.4875,0.5,0.23780487804878048,0.32231404958677684,0.49464509068167606,0.646875,0.6190476190476191,0.11016949152542373,0.18705035971223022,0.5783269004866588,0.7,0.2631578947368421,0.05747126436781609,0.09433962264150944,0.5095456563563712,0.0871625110170956,0.490625
RandomForest,1,320,0.012252429817785186,0.017107074140707428,0.540625,0.540625,0.04710346595962619,0.471875,0.5929203539823009,0.3526315789473684,0.44224422442244227,0.4963562753036437,0.4993927125506073,0.48125,0.4921875,0.38414634146341464,0.4315068493150685,0.49292526579111945,0.59375,0.4473684210526316,0.4322033898305085,0.4396551724137931,0.5724953851317335,0.521875,0.28289473684210525,0.4942528735632184,0.3598326359832636,0.5310048838241823,0.061074639080891995,0.428125
