date,trade_date,strategy,model_name,horizon,pred_ret,pred_up_prob,pred_trade_prob,fwd_ret_1d,benchmark_return,strategy_return,final_position,turnover,turnover_cost,position_gap,position_gap_return,cumulative_position_timing_contribution,equity,drawdown,benchmark_equity,benchmark_drawdown
2025-01-02,2025-01-03,ml_selective_defensive_enhancement,GradientBoosting,10,0.012654672531601118,0.5851291666598875,0.596470826257414,-0.047828311462035256,-0.048828311462035257,-0.048828311462035257,1.0,1.0,0.001,0.0,-0.0,-0.0,95117.16885379648,-0.048828311462035145,95117.16885379648,-0.048828311462035145
2025-01-03,2025-01-06,ml_selective_defensive_enhancement,GradientBoosting,10,-0.0228404982096138,0.6216417157133178,0.6035332471082192,-0.006965038296092518,-0.006965038296092518,-0.006965038296092518,1.0,0.0,0.0,0.0,-0.0,-0.0,94454.67413011388,-0.055453258698861196,94454.67413011388,-0.055453258698861196
2025-01-06,2025-01-07,ml_selective_defensive_enhancement,GradientBoosting,10,0.0018861165147393015,0.6076223229848332,0.5716257946446336,0.03666059264155752,0.03666059264155752,0.03666059264155752,1.0,0.0,0.0,0.0,0.0,0.0,97917.43846148904,-0.02082561538510952,97917.43846148904,-0.02082561538510952
2025-01-07,2025-01-08,ml_selective_defensive_enhancement,GradientBoosting,10,-0.02705344769474964,0.6086350135899616,0.5883045641612284,-0.0023530938670022206,-0.0023530938670022206,-0.0023530938670022206,1.0,0.0,0.0,0.0,-0.0,0.0,97687.02953757274,-0.02312970462427255,97687.02953757274,-0.02312970462427255
2025-01-08,2025-01-09,ml_selective_defensive_enhancement,GradientBoosting,10,0.002361710349425707,0.6086350135899616,0.5883045641612284,0.005732579547672145,0.005732579547672145,0.005732579547672145,1.0,0.0,0.0,0.0,0.0,0.0,98247.02820517268,-0.017529717948273182,98247.02820517268,-0.017529717948273182
2025-01-09,2025-01-10,ml_selective_defensive_enhancement,GradientBoosting,10,-0.020957535203537856,0.6086350135899616,0.5591480224022534,-0.03154771947584489,-0.03154771947584489,-0.03154771947584489,1.0,0.0,0.0,0.0,-0.0,0.0,95147.55852002048,-0.04852441479979519,95147.55852002048,-0.04852441479979519
2025-01-10,2025-01-13,ml_selective_defensive_enhancement,GradientBoosting,10,-0.011929174340488683,0.6076223229848332,0.5851859348771307,0.009250844219383714,0.009250844219383714,0.009250844219383714,1.0,0.0,0.0,0.0,0.0,0.0,96027.75376174388,-0.03972246238256116,96027.75376174388,-0.03972246238256116
2025-01-13,2025-01-14,ml_selective_defensive_enhancement,GradientBoosting,10,0.0014931911162943746,0.6076223229848332,0.5897061316420703,0.05471148230514955,0.05471148230514955,0.05471148230514955,1.0,0.0,0.0,0.0,0.0,0.0,101281.57451248278,0.0,101281.57451248278,0.0
2025-01-14,2025-01-15,ml_selective_defensive_enhancement,GradientBoosting,10,0.018068462562569422,0.641554816577047,0.6021985251448418,0.0002536797198067209,0.0002536797198067209,0.0002536797198067209,1.0,0.0,0.0,0.0,0.0,0.0,101307.26759392669,0.0,101307.26759392669,0.0
2025-01-15,2025-01-16,ml_selective_defensive_enhancement,GradientBoosting,10,-0.007036965447600679,0.6130737741731122,0.5602375063988887,0.009460126480445696,0.009460126480445696,0.009460126480445696,1.0,0.0,0.0,0.0,0.0,0.0,102265.64715875359,0.0,102265.64715875359,0.0
