strategy,strategy_label,strategy_role,total_return,excess_return_vs_buy_hold,max_drawdown,drawdown_improvement_vs_buy_hold,sharpe,calmar,average_position,minimum_position,maximum_position,days_below_full_exposure,total_turnover,total_transaction_cost,missed_upside,avoided_downside,net_timing_contribution,benchmark_clone,outperforms_buy_hold,reduces_max_drawdown
buy_hold,Buy and Hold,benchmark,1.1087406833801303,0.0,-0.1726028201054377,0.0,2.3255626278329213,5.042678705070166,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,True,False,False
ml_risk_budget_enhancement,Risk Budget,original_risk_budget,1.1134946344539691,0.0047539510738388,-0.1726028201054377,0.0,2.423439086333103,4.978558348057691,0.97640625,0.8,1.0,46,4.999999999999999,0.0049999999999999,0.0659418492472793,0.0693750283700898,-0.0015668208771895,False,True,False
ml_early_stress_risk_budget,Early Stress,original_early_stress,1.1081528628313395,-0.0005878205487905,-0.1706602050167892,0.0019426150886484,2.349698497040855,5.047015859785258,0.98846875,0.85,1.0,26,3.12,0.00312,0.026652720777671,0.0283911265500832,-0.0013815942275877,False,False,True
ml_external_risk_budget_enhancement_index_only,ml_external_risk_budget_enhancement_index_only,external_risk_budget_ablation,0.9940623719660028,-0.1146783114141276,-0.16526912790041,0.0073336922050276,2.3695526726729823,4.6302652657616115,0.937140625,0.6400000000000001,1.0,135,8.995,0.008995,0.1930580674789477,0.137299040219005,-0.0647540272599426,False,False,True
ml_external_risk_budget_enhancement_index_margin,ml_external_risk_budget_enhancement_index_margin,external_risk_budget_ablation,0.9919156809517322,-0.1168250024283981,-0.1548598681698823,0.0177429519355554,2.425625407634936,4.9318342533026875,0.929796875,0.6400000000000001,1.0,138,10.294999999999998,0.0102949999999999,0.2138636800165791,0.1561076955527637,-0.0680509844638154,False,False,True
ml_external_risk_budget_enhancement_index_shibor,ml_external_risk_budget_enhancement_index_shibor,external_risk_budget_ablation,0.9878344219339644,-0.1209062614461657,-0.1664421697773392,0.0061606503280984,2.3621080148997553,4.571538283628383,0.9353281249999998,0.6400000000000001,1.0,137,9.034999999999998,0.0090349999999999,0.1985040566982559,0.1395544291098616,-0.0679846275883943,False,False,True
ml_external_risk_budget_enhancement_all,ml_external_risk_budget_enhancement_all,external_risk_budget_ablation,0.98832805963537,-0.1204126237447602,-0.1549282050078221,0.0176746150976155,2.421968973473564,4.913508821204541,0.928140625,0.6400000000000001,1.0,140,10.034999999999997,0.0100349999999999,0.2182619846261724,0.1583630844436201,-0.0699339001825522,False,False,True
ml_external_early_stress_risk_budget_index_only,ml_external_early_stress_risk_budget_index_only,external_early_stress_ablation,0.9937074490167002,-0.1150332343634301,-0.1643558733601785,0.0082469467452591,2.309305995604494,4.680715970171521,0.9481984375,0.7040000000000001,1.0,140,7.991000000000001,0.007991,0.1536778010667706,0.0989446647307354,-0.0627241363360351,False,False,True
ml_external_early_stress_risk_budget_all,ml_external_early_stress_risk_budget_all,external_early_stress_ablation,0.99324058606484,-0.1155000973152902,-0.1479733501471528,0.0246294699582848,2.3989259352453183,5.196725488750073,0.93549375,0.7040000000000001,1.0,145,9.007000000000001,0.009007,0.1909701303762156,0.1334776525327713,-0.0664994778434443,False,False,True
ml_external_soft_confirm_risk_budget,ml_external_soft_confirm_risk_budget,external_soft_confirm_risk_budget,1.0725296392315324,-0.0362110441485978,-0.1733474152137345,-0.0007445951082968,2.3913140423661425,4.767262546356986,0.9709875,0.7200000000000001,1.0,68,6.079999999999998,0.0060799999999999,0.0975758264969079,0.0813994478495513,-0.0222563786473566,False,False,False
ml_external_soft_confirm_risk_budget_index_only,ml_external_soft_confirm_risk_budget_index_only,external_soft_confirm_risk_budget,1.0918606128824129,-0.0168800704977174,-0.1726028201054378,-1.1102230246251563e-16,2.410591855977532,4.87853364439416,0.97275,0.68,1.0,60,6.079999999999998,0.0060799999999999,0.0871898236226408,0.0806700521272162,-0.0125997714954246,False,False,False
ml_external_soft_confirm_early_stress,ml_external_soft_confirm_early_stress,external_soft_confirm_early_stress,1.080351224428583,-0.0283894589515476,-0.1713416416345908,0.0012611784708468,2.331990463551578,4.884916712758834,0.98562375,0.8096,1.0,48,3.4008,0.0034008,0.0470561898159844,0.0348467034563412,-0.0156102863596432,False,False,True
ml_external_soft_confirm_early_stress_index_only,ml_external_soft_confirm_early_stress_index_only,external_soft_confirm_early_stress,1.0937897407555617,-0.0149509426245688,-0.1706602050167892,0.0019426150886484,2.3315913050861226,4.981110229959272,0.99078875,0.85,1.0,27,2.7752,0.0027752,0.0287389326366743,0.0231892338761527,-0.0083248987605215,False,False,True
ml_external_soft_lite_risk_budget,ml_external_soft_lite_risk_budget,external_soft_lite_risk_budget,1.1007005310293771,-0.0080401523507531,-0.1727889741978489,-0.0001861540924111,2.412901937854607,4.915297122287183,0.9770437500000002,0.76,1.0,63,5.279999999999999,0.0052799999999999,0.0738311616527184,0.0711509245153189,-0.0079602371373995,False,False,False
ml_external_soft_lite_risk_budget_index_only,External Soft-Lite,external_soft_lite_risk_budget,1.1061039897591205,-0.0026366936210098,-0.1726028201054377,0.0,2.419165150118913,4.945587983549462,0.97709375,0.7360000000000001,1.0,58,5.4239999999999995,0.005424,0.0719903964535306,0.0720885162767792,-0.0053258801767514,False,False,False
ml_external_soft_lite_early_stress,ml_external_soft_lite_early_stress,external_soft_lite_early_stress,1.0928954048158517,-0.0158452785642788,-0.1708305690142568,0.0017722510911808,2.331233667120876,4.972499698900602,0.9916325,0.85,1.0,46,2.6752000000000007,0.0026752,0.0279786515070751,0.021863949946695,-0.0087899015603801,False,False,True
ml_external_soft_lite_early_stress_index_only,ml_external_soft_lite_early_stress_index_only,external_soft_lite_early_stress,1.1007530962905083,-0.0079875870896217,-0.1706602050167894,0.0019426150886482,2.337896542508109,5.013172988707621,0.99225375,0.85,1.0,27,2.6176000000000004,0.0026176,0.0234205762865976,0.0211920903690851,-0.0048460859175124,False,False,True
