big_up_prob_bin,sample_count,mean_pred_big_up_prob,mean_target_big_up,realized_big_up_rate,mean_target_ret,median_target_ret,mean_fwd_ret_1d,pct_positive_target_ret,average_final_position,total_strategy_return_contribution,total_benchmark_return_contribution
"(0.0421, 0.119]",33,0.08470988541189267,0.6363636363636364,0.6363636363636364,0.03800304067621112,0.0461096679147323,0.0013236509995394972,0.8787878787878788,0.97,0.0423700684952593,0.043680482984803405
"(0.119, 0.179]",32,0.14674921572210567,0.5625,0.5625,0.03200754186048315,0.04493201084522255,0.004064049438127659,0.875,0.9621875,0.12431643761497349,0.1300495820200851
"(0.179, 0.242]",32,0.21395920615746783,0.40625,0.40625,0.018596057617969695,0.031763444255826404,0.0024754364207644937,0.6875,0.96375,0.0773963776023042,0.0792139654644638
"(0.242, 0.304]",32,0.2719376097202024,0.40625,0.40625,0.008962582293587337,0.03431001871277875,-0.002586356530898769,0.65625,0.940625,-0.0776837220894427,-0.08276340898876061
"(0.304, 0.396]",32,0.3452581321022166,0.1875,0.1875,-0.002859758353693265,0.006369003151765751,0.002574335684599231,0.53125,0.9203125,0.0747416554932466,0.0823787419071754
"(0.396, 0.489]",32,0.45618438989373084,0.4482758620689655,0.4482758620689655,0.021217249069441477,0.0282748639723091,0.0031825680757736384,0.65625,0.9390625,0.0956887500080831,0.10184217842475643
"(0.489, 0.532]",32,0.513956081440581,0.4827586206896552,0.4827586206896552,0.0306360134459122,0.0369743493300962,0.0054410017241637906,0.71875,0.9341935483870968,0.1503478110356021,0.1686710534490775
"(0.532, 0.562]",32,0.5448386477846443,0.5333333333333333,0.5333333333333333,0.03654786135782747,0.04290483397514695,0.007378298729998225,0.71875,0.911875,0.2068594463200214,0.2361055593599432
"(0.562, 0.611]",32,0.5862330739853637,0.53125,0.53125,0.044039463742337574,0.042358674144570244,-0.0014445403152689217,0.90625,0.904375,-0.0426777535309463,-0.04622529008860549
"(0.611, 0.871]",32,0.7021343592128116,0.36666666666666664,0.36666666666666664,0.022032886317989487,0.0260350043124019,0.0025199449982517847,0.625,0.95125,0.08263264380233411,0.08063823994405711
