factor,corr_with_forward_return,mean_when_up,mean_when_down,difference_up_down,missing_rate,abs_corr_rank
m5_volume_profile_std_5,0.3175653345039665,0.03544095703237731,0.02880796972813684,0.0066329873042404695,0.8390625,1.0
m5_intraday_range_mean_5,0.2513609007630351,0.030647660976776805,0.02490076924794256,0.005746891728834247,0.8390625,2.0
amihud_illiq_20,0.24620258186298483,0.009674063463983468,0.008077671824385093,0.001596391639598375,0.005208333333333333,3.0
atr_ratio_5,0.23452780017107253,0.020450133986867323,0.01713543025996639,0.003314703726900934,0.0010416666666666667,4.0
m5_intraday_volatility_mean_5,0.2237358835769286,0.002072381733044094,0.0017477089521033432,0.0003246727809407509,0.8390625,5.0
bollinger_width,0.22309676091685635,0.12742900022941597,0.1044288263862182,0.023000173843197774,0.0046875,6.0
amihud_illiq_10,0.22151215145030348,0.009657832998459981,0.008076387903370471,0.00158144509508951,0.0026041666666666665,7.0
amihud_illiq_5,0.21713094107926517,0.009841056481158116,0.007826671350820723,0.0020143851303373924,0.0015625,8.0
atr_ratio_10,0.2140407386676765,0.019930360532643507,0.017618054167674143,0.002312306364969364,0.0020833333333333333,9.0
atr_ratio_20,0.21316140594133265,0.019674705926400984,0.017665971219753798,0.002008734706647187,0.0046875,10.0
m5_last_hour_volume_share_std_5,0.20416778696840776,0.0213034861283395,0.018224954626761478,0.003078531501578021,0.8390625,11.0
m5_morning_return_std_5,0.20324117913758855,0.016386713572193408,0.013663930858715267,0.002722782713478141,0.8390625,12.0
volatility_20,0.20066003616463646,0.016641650811556004,0.014553734093018517,0.002087916718537487,0.005208333333333333,13.0
m5_first_hour_return_std_5,0.19960424187857642,0.014548772337073522,0.011763543065114356,0.0027852292719591654,0.8390625,14.0
m5_intraday_max_return,0.19705135082745595,0.014712486602516495,0.011368301751602401,0.0033441848509140944,0.8380208333333333,15.0
m5_intraday_slope,0.1965050083736697,4.546890983113537e-05,-2.2380505773605925e-05,6.78494156047413e-05,0.8380208333333333,16.0
m5_intraday_return_std_5,0.19025805121983513,0.02213084240396439,0.017196422746206856,0.004934419657757535,0.8390625,17.0
m5_low_to_close_recovery,0.19016883922971356,0.016531069114073274,0.013567945525715835,0.002963123588357439,0.8380208333333333,18.0
m5_close_vwap_position_mean_5,-0.18989204987715153,-0.7108999303371472,-0.6999186521665425,-0.01098127817060468,0.8390625,19.0
downside_return_sum_20,-0.18391251835738442,-0.12089854339155622,-0.10401558551378011,-0.016882957877776106,0.0046875,20.0
volatility_5,0.1827146079385466,0.015483809240058216,0.01260597397246351,0.0028778352675947055,0.0015625,21.0
downside_volatility_20,0.18236287226619843,0.010385075732006466,0.008914718859003051,0.0014703568730034151,0.0046875,22.0
m5_large_volume_bar_return,0.17995466167888785,5.4889722546934904e-05,-0.00011453199465948563,0.00016942171720642053,0.8380208333333333,23.0
m5_large_amount_bar_return,0.17988419065752306,5.4889722546934904e-05,-0.00011409598137020951,0.00016898570391714443,0.8380208333333333,24.0
m5_close_vwap_position,-0.1773899789835587,-0.7104018259336522,-0.6991911246568636,-0.011210701276788582,0.8380208333333333,25.0
m5_vwap_discount,-0.1773899789835587,-0.7104018259336522,-0.6991911246568636,-0.011210701276788582,0.8380208333333333,25.0
sell_pressure_volume_20,0.17738002597084782,0.05642252628237683,0.04768003807090269,0.008742488211474143,0.0046875,26.0
volatility_10,0.1739815158753704,0.016022072168419197,0.014116482068831631,0.001905590099587566,0.0026041666666666665,27.0
m5_large_volume_bar_return_z_20,0.17361181040283438,-0.003418721454968858,-0.09926931642039322,0.09585059496542436,0.8401041666666667,28.0
