factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,corr_with_clean_direction,mean_when_big_up,mean_when_big_down,mean_when_clean_up,mean_when_clean_down,difference_big_up_down,missing_rate,max_abs_tail_corr
m5_volume_profile_std_5,20,0.3781661107374887,0.40488487853083927,-0.18456080960367932,0.33427170328218847,0.0416868440606032,0.027846042248776574,0.04030285239748871,0.028134034456397998,0.013840801811826623,0.8456692913385827,0.40488487853083927
m5_intraday_volatility_mean_5,10,0.2770570838048282,0.35710996555159524,-0.13571952408293878,0.2648746854187943,0.002361400841013481,0.001728816742830491,0.0022484727482653052,0.0017268512469663462,0.0006325840981829902,0.8412532637075718,0.35710996555159524
m5_intraday_volatility_mean_5,20,0.35641558239618015,0.355271345505459,-0.11525680303090836,0.2553031857793009,0.0023677738300857277,0.0017726449955633278,0.0022875287356244043,0.0017786842778347383,0.0005951288345223999,0.8456692913385827,0.355271345505459
m5_morning_return_std_5,20,0.3696732386548408,0.3530618114063074,-0.1296556190521442,0.2648453511449925,0.0199639594287328,0.013032683691363197,0.019030143734119875,0.01298530341550077,0.006931275737369602,0.8456692913385827,0.3530618114063074
m5_intraday_range_mean_5,20,0.3910846575575455,0.3511175636585477,-0.14489732152659102,0.26431438338812324,0.03636182576129196,0.024310500570181814,0.03487442379048556,0.0246691843100662,0.012051325191110147,0.8456692913385827,0.3511175636585477
m5_volume_profile_std_5,10,0.24206866307475583,0.33824135407429023,-0.11609670753134044,0.27060391879703827,0.04018511148233289,0.02953076281699633,0.038837214029676645,0.029165513031421487,0.010654348665336561,0.8412532637075718,0.33824135407429023
m5_intraday_range_mean_5,10,0.30569632015737336,0.3342413869963681,-0.13385815038232196,0.24754598829260133,0.03580998966772277,0.02435990145366527,0.03377350134861223,0.02434848333773549,0.011450088214057505,0.8412532637075718,0.3342413869963681
m5_intraday_volatility_std_5,10,0.25643207880823493,0.3338243075044641,-0.13700880734462806,0.26538691139545884,0.0007466538480164355,0.0004465357889248765,0.0007079641098609716,0.00044208120600581433,0.000300118059091559,0.8412532637075718,0.3338243075044641
m5_last_hour_volume_share_std_5,20,0.24473512068548497,0.33370121904242794,-0.13228765349038316,0.26385307163403343,0.024733450338698743,0.017804432547745958,0.02395500458114175,0.017749494919281895,0.006929017790952785,0.8456692913385827,0.33370121904242794
m5_intraday_volatility_std_5,20,0.3100769207633869,0.32872739253512007,-0.17590410243883695,0.3047056022111267,0.0007484583081412576,0.0004270265050383194,0.0007332119542616807,0.0004257996102451733,0.00032143180310293827,0.8456692913385827,0.32872739253512007
