date,trade_date,target_start_date,target_end_date,horizon,model_name,close,fwd_ret_1d,target_ret,target_up,target_trade,target_big_up,target_big_down,target_clean_direction,pred_ret,pred_up_prob,pred_trade_prob,pred_big_up_prob,pred_big_down_prob,pred_tail_score,pred_clean_direction_prob,pred_clean_direction,pred_up,pred_trade,pred_big_up,pred_big_down,chunk_start,train_samples,train_latest_target_end_date,feature_top_k,selected_feature_count,selected_feature_count_up,selected_feature_count_trade,selected_feature_count_big_up,selected_feature_count_big_down,selected_feature_count_clean_direction,clean_direction_train_samples,ret_5,ret_20,ret_60,ma_ratio_20,ma_ratio_60,ma_spread_20_60,volatility_20,volatility_60,volatility_ratio_5_20,volatility_ratio_20_60,drawdown_20,drawdown_60,drawdown_120,drawdown_speed_20,trend_regime_score,high_volatility_regime,drawdown_regime,severe_drawdown_regime,crash_risk_score,m5_available,strategy,final_position,signal,turnover,transaction_cost,strategy_return,buy_hold_return,active_return,equity,buy_hold_equity,drawdown,buy_hold_drawdown,benchmark_return,benchmark_equity,position_gap,position_gap_return,turnover_cost,cumulative_active_return,cumulative_position_gap_return,cumulative_turnover_cost,missed_upside_daily,avoided_downside_daily,cumulative_missed_upside,cumulative_avoided_downside
2025-01-02,2025-01-03,2025-01-03,2025-01-16,10,ExtraTreesDeep,3615.85,-0.0478283114620352,0.0237316260353719,1.0,1.0,0.0,0.0,1.0,-0.005796310095069,0.5768628870070569,0.5654621506503086,0.4685036910965011,0.4105996651748386,0.0579040259216624,0.4301590326165256,0,1,1,0,0,2025-01-02,1915,2024-12-31,120,120,120,120,120,120,120,1345,-0.0127614611518079,-0.0967803981225442,0.157101621801518,-0.0895261323260965,-0.0298319378837724,0.065563874551207,0.0250819625014464,0.0227176620011333,0.6998194923015401,1.1040732316642068,-0.1627147137690052,-0.1627147137690052,-0.1627147137690052,-0.0108231022521501,0.25,0.0,1.0,1.0,0.3166589573846069,1.0,ml_big_up_index_enhancement,0.88,ADJUST,0.12,0.00012,-0.0422089140865909,-0.0478283114620352,0.005619397375444299,95779.1085913409,95217.16885379648,0.0,0.0,-0.0478283114620352,95217.16885379648,-0.12,0.005739397375444224,0.00012,0.005619397375444299,0.005739397375444224,0.00012,0.0,0.005739397375444224,0.0,0.005739397375444224
2025-01-03,2025-01-06,2025-01-06,2025-01-17,10,ExtraTreesDeep,3442.91,-0.0069650382960925,0.0695922925664627,1.0,1.0,1.0,0.0,1.0,-0.0264476448860378,0.6373844636059535,0.6154140501052835,0.5398026625661744,0.3866218772406085,0.1531807853255658,0.536517967887419,1,1,1,1,0,2025-01-02,1915,2024-12-31,120,120,120,120,120,120,120,1345,-0.0739911942141092,-0.1547656457140613,0.0835654420766729,-0.1261368069478383,-0.0773289811494697,0.0558529369201332,0.0262559159598985,0.0235542586306151,0.8913204703537541,1.1146993149583524,-0.2027606552214406,-0.2027606552214406,-0.2027606552214406,-0.0637020845007804,0.25,0.0,1.0,1.0,0.3924254191510457,1.0,ml_big_up_index_enhancement,0.88,ADJUST,0.0,0.0,-0.0061292337005614,-0.0069650382960925,0.0008358045955311,95192.05605115312,94553.97762628426,-0.0061292337005615,-0.0069650382960926,-0.0069650382960925,94553.97762628426,-0.12,0.0008358045955311,0.0,0.006455201970975399,0.006575201970975324,0.00012,0.0,0.0008358045955311,0.0,0.006575201970975324
2025-01-06,2025-01-07,2025-01-07,2025-01-20,10,ExtraTreesDeep,3418.93,0.0366605926415575,0.0955035639805437,1.0,1.0,1.0,0.0,1.0,-0.0365466545440065,0.663722041422547,0.6045584198453953,0.5118103192412119,0.3608732115077667,0.1509371077334451,0.532505081328516,1,1,1,1,0,2025-01-02,1915,2024-12-31,120,120,120,120,120,120,120,1345,-0.0960114223767534,-0.1698059603276164,0.1146310133927988,-0.1244531241196974,-0.0851921035576248,0.0448417116703183,0.0258739179726067,0.0230987866061458,0.640389406332475,1.12014186778636,-0.208313457788975,-0.208313457788975,-0.208313457788975,-0.084083972824149,0.25,0.0,1.0,1.0,0.3450910264343198,1.0,ml_big_up_index_enhancement,0.88,ADJUST,0.0,0.0,0.0322613215245706,0.0366605926415575,-0.0043992711169869025,98263.07757800432,98020.38248268042,0.0,0.0,0.0366605926415575,98020.38248268042,-0.12,-0.0043992711169869,0.0,0.0020559308539884963,0.0021759308539884238,0.00012,0.0043992711169869,0.0,0.0043992711169869,0.006575201970975324
2025-01-07,2025-01-08,2025-01-08,2025-01-21,10,ExtraTreesDeep,3544.27,-0.0023530938670022,0.0448470347913674,1.0,1.0,1.0,0.0,1.0,-0.0338023832122024,0.5880050200744111,0.6065643870199977,0.4053213726390925,0.3527096621378409,0.0526117105012516,0.4681553827325662,0,1,1,0,0,2025-01-02,1915,2024-12-31,120,120,120,120,120,120,120,1345,-0.0445011781071565,-0.1454092150853682,0.1188921790848764,-0.0852918442585402,-0.0532447803542956,0.0350352882535165,0.027624232748789,0.0231929682198926,1.0963687624082428,1.1910606907612475,-0.1792897599651733,-0.1792897599651733,-0.1792897599651733,-0.0382235662978691,0.25,0.0,1.0,1.0,0.4304821580847131,1.0,ml_big_up_index_enhancement,0.88,ADJUST,0.0,0.0,-0.0020707226029619,-0.0023530938670022,0.00028237126404030005,98059.60200222697,97789.7313218192,-0.002070722602962,-0.0023530938670022,-0.0023530938670022,97789.7313218192,-0.12,0.000282371264040264,0.0,0.0023383021180287964,0.002458302118028688,0.00012,0.0,0.000282371264040264,0.0043992711169869,0.006857573235015587
2025-01-08,2025-01-09,2025-01-09,2025-01-22,10,ExtraTreesDeep,3535.93,0.0057325795476721,0.0359367973913511,1.0,1.0,1.0,0.0,1.0,-0.0293193668047526,0.5880262465078834,0.5921459367595582,0.4248146016904501,0.3733055518103687,0.0515090498800813,0.4799837196503886,0,1,1,0,0,2025-01-02,1915,2024-12-31,120,120,120,120,120,120,120,1345,-0.0298087291504897,-0.1506558767081499,0.124899390137211,-0.0799982827682298,-0.0571206179750963,0.0248669805334396,0.0275261595672011,0.0231649051486342,1.0878672964306593,1.188269901844347,-0.1812209681975853,-0.1812209681975853,-0.1812209681975853,-0.025156650164176,0.25,0.0,1.0,1.0,0.4297563800024293,1.0,ml_big_up_index_enhancement,0.88,ADJUST,0.0,0.0,0.0050446700019514,0.0057325795476721,-0.0006879095457207,98554.28033485088,98350.31873556704,0.0,0.0,0.0057325795476721,98350.31873556704,-0.12,-0.000687909545720652,0.0,0.0016503925723080964,0.0017703925723080358,0.00012,0.000687909545720652,0.0,0.005087180662707552,0.006857573235015587
2025-01-09,2025-01-10,2025-01-10,2025-01-23,10,ExtraTreesDeep,3556.2,-0.0315477194758448,0.0328581069681122,1.0,1.0,0.0,0.0,1.0,-0.027284967917382,0.582378240430587,0.5884471436646705,0.3756918261115492,0.3622655713083718,0.0134262548031773,0.443275341118916,0,1,1,0,0,2025-01-02,1915,2024-12-31,120,120,120,120,120,120,120,1345,-0.0164968126443298,-0.1592848176228201,0.1174971482800122,-0.0665422651324978,-0.0532886939273367,0.0141983624004597,0.0271502493623031,0.0231313059517061,1.1164016639305885,1.173744769058337,-0.1765272522658121,-0.1765272522658121,-0.1765272522658121,-0.0138125384968068,0.25,0.0,1.0,1.0,0.4345245103160604,1.0,ml_big_up_index_enhancement,0.88,ADJUST,0.0,0.0,-0.0277619931387434,-0.0315477194758448,0.003785726337101402,95818.21708040097,95247.59046973744,-0.0277619931387433,-0.0315477194758448,-0.0315477194758448,95247.59046973744,-0.12,0.003785726337101376,0.0,0.005436118909409498,0.005556118909409412,0.00012,0.0,0.003785726337101376,0.005087180662707552,0.010643299572116963
2025-01-10,2025-01-13,2025-01-13,2025-01-24,10,ExtraTreesDeep,3444.01,0.0092508442193837,0.0762367124369558,1.0,1.0,1.0,0.0,1.0,-0.0136762505901453,0.6234199263273982,0.5926689946377333,0.5050155753200983,0.3756988599244446,0.1293167153956537,0.5220749273915296,1,1,1,1,0,2025-01-02,1915,2024-12-31,120,120,120,120,120,120,120,1345,0.0003194971695457,-0.2025059395073334,0.0886707760391971,-0.0854943467570192,-0.0842949596841021,0.0013115141154829,0.0267104750848188,0.0235157869758936,0.9219495358071486,1.1358529107361006,-0.1943138938340861,-0.2025059395073334,-0.2025059395073334,0.0084467613873544,0.25,0.0,1.0,1.0,0.4245783428739885,1.0,ml_big_up_index_enhancement,0.88,ADJUST,0.0,0.0,0.0081407429130576,0.0092508442193837,-0.0011101013063261004,96598.24855204004,96128.71109144464,-0.0198472534745823,-0.022588718294809,0.0092508442193837,96128.71109144464,-0.12,-0.001110101306326044,0.0,0.004326017603083398,0.004446017603083368,0.00012,0.001110101306326044,0.0,0.006197281969033596,0.010643299572116963
2025-01-13,2025-01-14,2025-01-14,2025-01-27,10,ExtraTreesDeep,3475.87,0.0547114823051495,0.0655634416707184,1.0,1.0,1.0,0.0,1.0,-0.0177900501508606,0.6103181610470307,0.6023561594240032,0.468120806917231,0.3229904504287459,0.145130356488485,0.520447199699008,1,1,1,0,0,2025-01-02,1915,2024-12-31,120,120,120,120,120,120,120,1345,0.0166543333733069,-0.1834566259710911,0.0719590197807891,-0.0673645058819142,-0.0767785040357257,-0.0100939737048219,0.0270696399455503,0.0233387025020826,0.9049355884431192,1.1598605339407675,-0.1868606171762235,-0.1951284461878319,-0.1951284461878319,0.0214528406127515,0.0,0.0,1.0,1.0,0.4161113523805578,1.0,ml_big_up_index_enhancement,0.88,ADJUST,0.0,0.0,0.0481461044285315,0.0547114823051495,-0.006565377876618005,101249.07791443984,101388.05536734106,0.0,0.0,0.0547114823051495,101388.05536734106,-0.12,-0.0065653778766179395,0.0,-0.0022393602735346066,-0.0021193602735345715,0.00012,0.0065653778766179395,0.0,0.012762659845651536,0.010643299572116963
2025-01-14,2025-01-15,2025-01-15,2025-02-05,10,ExtraTreesDeep,3666.04,0.0002536797198067,0.0328583430622688,1.0,1.0,0.0,0.0,1.0,-0.0040406227735476,0.5946519565837738,0.5983822560818877,0.3791838555075161,0.3715392317405142,0.0076446237670019,0.4866700121835423,0,1,1,0,0,2025-01-02,1915,2024-12-31,120,120,120,120,120,120,120,1345,0.0343568633315181,-0.1423725562212402,0.1138036008336724,-0.0082411662805135,-0.027879653026297,-0.0198016756474267,0.0305679656895256,0.0242735875375995,1.0157599292093311,1.2593097597203646,-0.1017183797783478,-0.1510927304135193,-0.1510927304135193,0.0775713801868255,0.0,1.0,1.0,1.0,0.4212477730542251,1.0,ml_big_up_index_enhancement,0.88,ADJUST,0.0,0.0,0.0002232381534298,0.0002536797198067,-3.04415663769e-05,101271.68057162991,101413.7754608184,0.0,0.0,0.0002536797198067,101413.7754608184,-0.12,-3.0441566376804e-05,0.0,-0.0022698018399115068,-0.0021498018399113755,0.00012,3.0441566376804e-05,0.0,0.01279310141202834,0.010643299572116963
2025-01-15,2025-01-16,2025-01-16,2025-02-06,10,ExtraTreesDeep,3666.97,0.0094601264804456,0.0479905753251321,1.0,1.0,1.0,0.0,1.0,-0.016113577217562,0.5324306205937581,0.4834379314514902,0.3642559775743199,0.3914500719762785,-0.0271940944019586,0.3400344762692653,0,1,0,0,0,2025-01-02,1915,2024-12-31,120,120,120,120,120,120,120,1345,0.0370595571744916,-0.0885167583045826,0.094823802685281,-0.0031880844798894,-0.0289959744179258,-0.0258904308187071,0.0280667789737349,0.0241889553712793,1.099928328268288,1.1603138102879729,-0.1014905039486226,-0.1508773798552288,-0.1508773798552288,0.0797304642489626,0.0,0.0,1.0,1.0,0.4058240780823268,1.0,ml_big_up_index_enhancement,0.88,ADJUST,0.0,0.0,0.0083249113027921,0.0094601264804456,-0.0011352151776534997,102114.75832987342,102373.16260353726,0.0,0.0,0.0094601264804456,102373.16260353726,-0.12,-0.0011352151776534718,0.0,-0.0034050170175650065,-0.0032850170175648475,0.00012,0.0011352151776534718,0.0,0.013928316589681812,0.010643299572116963
