experiment_id,family,feature_top_k,search_engine,model_name,horizon,big_up_prob_threshold,big_down_prob_threshold,tail_score_threshold,mild_cut_exposure,defensive_cut_exposure,severe_defensive_exposure,no_trade_band,high_volatility_multiplier,drawdown_threshold,decision_target_label,opportunity_cost_buffer,min_strong_up_position,max_position_change,trial_number,seed,robust_score,avg_excess_return_vs_buy_hold,avg_sharpe,avg_calmar,avg_turnover,avg_max_drawdown,avg_position,avg_missed_upside,avg_avoided_downside,positive_fold_ratio,excess_stability,excess_std,fold_count,status,failure_reason,test_total_return,test_excess_return_vs_buy_hold,test_max_drawdown,test_sharpe,artifact_dir,error
auto_20260614_190800_exp_004,ml_bull_full_participation_enhancement,50,optuna,ExtraTrees,10,0.572,0.732,0.0182,0.999,0.995,0.966,0.0598,1.175,0.097,avoid_loss_label,0.0021,0.985,0.30000000000000004,3,42,1.7048742668068624,9.883543276349253e-05,1.2311210961069592,4.246762203084834,0.04533333333333337,-0.23139103739528047,0.9988438062678063,0.0005645124801649947,0.0009303600575551497,0.3333333333333333,0.9991455902747433,0.0008551403655014071,3,ok,,1.1127012123031261,0.003960528923004691,-0.17260282010543804,2.332921486490729,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_004,
auto_20260614_190800_exp_034,ml_conservative_full_participation_enhancement,80,optuna,RandomForest,20,0.546,0.659,0.0355,0.977,0.952,0.948,0.0299,1.143,0.111,big_down_label,0.0019,0.96,0.2,33,42,1.6705853246812923,0.0012050914516164024,1.2329199477868282,4.26981237510678,0.1200000000000001,-0.23135648319326543,0.9907045925925927,0.011342236937359826,0.012225087348409549,0.3333333333333333,0.9979969480333416,0.0020070722366491247,3,ok,,1.084449136566143,-0.024291546813978382,-0.17009978105739965,2.3215956343301305,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_034,
auto_20260614_190800_exp_043,ml_conservative_full_participation_enhancement,80,optuna,RandomForest,20,0.536,0.597,0.035,0.971,0.95,0.945,0.0306,1.21,0.102,big_down_label,0.0009,0.957,0.35000000000000003,42,42,1.6681405623340737,0.001264166142053121,1.2330400446719825,4.27076760504976,0.1266666666666668,-0.23134269046955658,0.9901724216524217,0.011996596760669045,0.012923883017568088,0.3333333333333333,0.9978748821232173,0.0021296436205117592,3,ok,,1.0839476513718402,-0.0247930320082812,-0.17009978105739976,2.3215298249305296,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_043,
auto_20260614_190800_exp_012,ml_conservative_full_participation_enhancement,80,optuna,RandomForest,20,0.531,0.572,0.0468,0.974,0.963,0.94,0.0591,1.216,0.1,big_up_label,0.0014,0.951,0.25,11,42,1.6568527526352657,0.0009232185294570187,1.231552373088003,4.254127592048963,0.14000000000000012,-0.23157129022530312,0.9894099145299143,0.013087196466184411,0.013795630460622384,0.3333333333333333,0.9972650809405263,0.002742419354435253,3,ok,,1.1078221337995662,-0.0009185495805552613,-0.16257466798180742,2.371711989060327,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_012,
auto_20260614_190800_exp_023,ml_conservative_full_participation_enhancement,80,optuna,RandomForest,20,0.545,0.571,0.0323,0.975,0.957,0.94,0.0535,1.131,0.105,big_down_label,0.0015,0.956,0.2,22,42,1.6568527526352657,0.0009232185294570187,1.231552373088003,4.254127592048963,0.14000000000000012,-0.23157129022530312,0.9894099145299143,0.013087196466184411,0.013795630460622384,0.3333333333333333,0.9972650809405263,0.002742419354435253,3,ok,,1.1078221337995662,-0.0009185495805552613,-0.16257466798180742,2.371711989060327,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_023,
auto_20260614_190800_exp_044,ml_conservative_full_participation_enhancement,80,optuna,RandomForest,20,0.537,0.594,0.0395,0.971,0.95,0.945,0.0282,1.213,0.102,big_down_label,0.0011,0.956,0.4,43,42,1.5803332959664982,0.0003064571798376085,1.2390502673725945,4.323308454359573,0.35100000000000026,-0.2292331168983913,0.9848055118095763,0.017457542006088483,0.01762825322426656,0.3333333333333333,0.9970761203798838,0.002932453761907579,3,ok,,1.0839260589619313,-0.024814624418190157,-0.17009978105739976,2.328156179792638,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_044,
auto_20260614_190800_exp_003,ml_conservative_full_participation_enhancement,80,optuna,RandomForest,20,0.541,0.575,0.0318,0.973,0.955,0.945,0.0262,1.17,0.108,big_down_label,0.0009,0.957,0.2,2,42,1.5589046393200339,-0.0012755855214399148,1.2341414471283085,4.303872260074898,0.4280000000000004,-0.2293351014234899,0.9876640229758294,0.014107022357681418,0.013160544627511393,0.3333333333333333,0.9973530514494254,0.002653973481835634,3,ok,,1.084761288463155,-0.023979394916966434,-0.17009978105739976,2.32811249691446,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_003,
auto_20260614_190800_exp_042,ml_conservative_full_participation_enhancement,80,optuna,RandomForest,20,0.542,0.58,0.0271,0.972,0.955,0.939,0.0199,1.165,0.105,big_down_label,0.0011,0.964,0.2,41,42,1.5508054850547124,-0.0018417087990549492,1.2310682433807583,4.2925620064694625,0.45833333333333376,-0.229340554716262,0.9871659266611523,0.014881731845020604,0.013501601692481421,0.3333333333333333,0.9969032584619028,0.0031063611356583606,3,ok,,1.0854488461247151,-0.02329183725540629,-0.17009978105739954,2.330146848911176,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_042,
auto_20260614_190800_exp_008,ml_conservative_full_participation_enhancement,80,optuna,RandomForest,20,0.588,0.575,0.0233,0.979,0.949,0.93,0.0164,1.088,0.111,big_up_label,0.001,0.961,0.30000000000000004,7,42,1.5400949626130693,-0.0024563657437504474,1.2275225031370478,4.283290507301383,0.46899999999999986,-0.22965619994936015,0.9885136386361547,0.013453087272908568,0.011482007597014001,0.3333333333333333,0.9970884914648166,0.0029200101697153965,3,ok,,1.0839722226906296,-0.02476846068949179,-0.17009978105739965,2.3277712414191365,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_008,
auto_20260614_190800_exp_046,ml_bull_full_participation_enhancement,50,optuna,RandomForest,10,0.528,0.629,0.0001,0.994,0.986,0.962,0.0823,1.245,0.132,big_up_label,0.0024,0.988,0.2,45,42,1.5104338880190096,0.0,1.2302153475419983,4.246537198040818,0.0,-0.23168741942637575,1.0,0.0,0.0,0.0,1.0,0.0,3,ok,,1.1131672500650112,0.004426566684889721,-0.17260282010543837,2.3337838878560233,C:\Users\qqrtq\Documents\GitHub\Data-Mining\outputs\experiments\auto_20260614_190800_exp_046,
